Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
Aiden Rudy,1770,21,3,8,5,85.6,206,71.0
Nic Lanas,1691,16,7,8,2,93.1,155,106.0
Elliot Davis,967,10,2,7,5,86.21,105,79.0
James Kloss,1159,11,10,6,7,83.13,189,49.0
Justin Wollin,2125,15,8,6,6,93.69,184,110.0
Bradley Kennis,1051,5,5,4,5,92.13,131,75.0
Richard Ware,419,5,3,3,2,97.37,162,29.0
Anderson Cañon,367,1,1,0,1,95.65,35,99.0
Christopher O'Brien,50,1,0,0,0,100.0,17,32.0
Caleb Texeira,340,2,1,0,1,95.65,49,67.0
Jack Bembenek,199,1,0,0,1,84.62,22,67.0
Ben Lewis,4730,64,21,54,15,91.63,263,183.0
Jimmy Zuraw,4221,54,19,36,9,93.02,254,169.0
Kyle Kolafa,1247,20,3,27,10,93.48,136,106.0
Zachary Cotter,1309,17,3,15,9,83.87,177,63.0
Brian Gfroerer,1939,21,18,13,4,93.64,208,96.0
Bryan Downey,1445,13,6,11,5,86.59,90,139.0
Dane Bossert,1142,11,7,11,8,89.86,117,94.0
Steven Kelly,706,10,2,9,6,87.5,107,62.0
Shaun Seidenberger,1641,15,6,9,5,92.45,159,99.0
Xavier Daniel,324,6,0,7,3,100.0,58,74.0
Mitch Lutz,806,10,3,6,1,93.65,50,164.0
Brendan Adams,2113,17,15,5,7,88.08,251,72.0
Cam Albin,404,6,1,5,0,95.65,27,166.0
Dylan Zeringue,1115,9,6,4,4,89.83,129,78.0
Garrett Wilson,563,7,2,4,1,96.59,84,72.0
Matt Bennett,2972,31,12,4,6,90.7,207,129.0
Marshall Dinges,603,5,4,4,2,97.37,83,79.0
Max Grove,1424,12,10,4,4,91.82,145,92.0
Caiden Burt,985,6,9,3,8,91.18,220,42.0
Corey Tolbert,412,5,1,2,1,80.0,60,50.0
Levi Jacobs,4838,53,18,40,2,96.7,216,242.0
Seth Gudeman,2166,35,16,39,10,96.17,259,101.0
Cameron Brock,3847,47,23,35,4,96.26,235,180.0
Xavier Payne,3187,37,22,31,7,96.51,217,164.0
Lucas Coniaris,5121,41,25,22,5,95.81,226,231.0
Cam Thatcher,1336,24,4,20,3,89.32,124,108.0
Rick Gross,2600,26,19,19,3,98.01,210,138.0
Drew Happe,1212,16,11,18,6,97.79,202,73.0
Travis Carpenter,3671,31,13,17,3,96.17,201,187.0
Ben Close,544,9,2,16,8,94.44,155,45.0
Joel Close,559,9,5,15,8,100.0,141,57.0
Carter Hawkins,1886,20,7,14,6,95.0,187,105.0
Robby Davenport,678,10,5,14,6,98.59,118,75.0
Ben Landry,2443,14,10,13,8,96.21,175,144.0
Nick Hutton,829,14,5,13,12,88.66,163,52.0
Nicholas Betsch,1982,20,8,12,4,93.82,133,149.0
Jeremiah Branson,1462,13,5,10,1,95.35,118,127.0
William Wettengel,643,11,1,10,6,88.89,107,60.0
Tanner Graham,391,6,3,9,4,100.0,145,37.0
Jack Galle,312,5,1,8,5,93.94,96,40.0
Sean McDougall,3813,59,19,57,14,92.99,282,147.0
James Franklin,3216,43,8,42,7,94.29,241,144.0
Everest Shapiro,3949,39,18,30,10,91.63,232,165.0
Pawel Janas,5963,53,40,29,2,95.77,254,243.0
Bryan Nguyen,2200,23,6,23,2,97.56,140,175.0
Michael Kiyoi,2854,31,17,23,3,95.86,224,137.0
Brent George,2482,32,15,21,0,94.15,212,122.0
Sam Cook,2821,30,13,19,1,95.19,183,160.0
Mitchell Steiner,1609,18,10,18,15,90.1,247,65.0
Daniel Brunker,2265,22,10,11,0,94.32,93,242.0
Milan Ravenell,816,10,7,9,6,87.18,146,52.0
Jason Lee,287,4,2,8,5,100.0,128,32.0
Andrew Padula,226,5,1,7,5,95.65,159,19.0
Garrett Santi,988,9,7,7,10,82.05,186,42.0
Eddie Finley,45,0,0,5,7,100.0,104,11.0
Kobi McCracken,2033,18,7,3,1,94.35,209,93.0
Marshall Wildmann,475,4,2,3,3,92.0,68,68.0
Isaac Hsu,91,1,0,2,2,88.89,27,35.0
Isamu Kawaguchi,168,5,4,2,1,92.0,83,24.0
Brandon Van Deusen,351,3,2,1,0,94.44,22,156.0
Anthony Gutowsky,2936,61,8,64,15,91.89,289,116.0
Pieran Robert,1613,40,11,50,11,98.25,238,97.0
Gabe Vordick,3149,38,10,39,6,97.13,206,174.0
Mitchell McCarthy,2730,38,17,38,17,91.67,284,101.0
Luke Marks,1198,28,3,36,16,92.06,219,68.0
Jack Nelson,2320,34,9,33,4,95.71,174,151.0
Sterling Knoche,1141,18,7,31,16,96.0,231,64.0
Jake Carrico,1768,25,13,30,16,91.23,201,95.0
Joe Leibforth,1101,19,2,26,13,80.56,201,48.0
Kelsen Alexander,2459,27,14,23,6,92.75,209,120.0
Max Sample,2745,27,14,20,4,95.03,164,174.0
Avery Johnson,1447,18,10,19,4,96.49,118,141.0
Joshua Wilson,2240,24,9,18,9,93.06,188,120.0
Mac Weber,1572,16,16,18,11,94.44,253,68.0
Ted Schewe,2773,25,10,12,3,92.51,181,145.0
Victor Luo,3016,26,16,12,6,93.13,236,124.0
Jacob Wham,532,9,4,9,5,92.59,110,55.0
Andrew Meshnick,353,6,0,8,4,90.91,123,32.0
Matt Grinde,243,6,3,7,2,100.0,64,57.0
Noah Nicol,852,6,5,6,3,96.49,84,108.0
Bryan Vohnoutka,3738,54,27,55,8,93.26,277,148.0
Gordon Larson,4645,55,30,45,4,93.51,234,207.0
Dylan DeClerck,1376,33,2,38,9,90.0,221,72.0
Jordan Taylor,3037,39,14,29,2,91.6,185,163.0
Tristan Van de Moortele,3407,43,21,26,11,92.05,277,123.0
Colin Berry,2836,36,11,25,5,87.1,181,140.0
Noah Hanson,1002,17,7,23,13,88.68,187,58.0
Leo Sovell-Fernandez,3816,30,11,22,2,96.11,248,158.0
Quinn Snider,1766,28,9,22,2,93.83,138,139.0
Bret Bergmeier,1933,30,14,21,9,87.4,192,95.0
Paul Krenik,1285,18,10,20,5,97.5,209,74.0
Brandon Matis,795,9,2,19,15,91.23,213,42.0
Matthew Rehder,2672,21,18,19,14,88.24,190,127.0
Anthony Jirele,626,11,6,18,8,96.55,170,50.0
William Brandt,3990,41,15,17,7,92.29,186,204.0
Matej Petrovic,363,8,3,15,9,90.91,103,47.0
Cameron Lacy,1109,16,13,14,12,90.0,237,49.0
Josh Klane,5012,49,18,13,1,90.66,246,183.0
Greg Cousins,1842,19,13,12,2,92.5,141,129.0
Thomas Shope,395,2,1,12,12,91.3,117,40.0
Tobe Decraene,5737,69,25,54,18,91.71,267,214.0
Quentin Bonnaud,4145,54,20,47,5,94.76,246,182.0
Philippe Le Bourdais,1581,31,7,25,1,90.63,171,97.0
William St-Pierre,2608,31,16,24,3,93.71,218,124.0
Antoine Dubé,798,12,4,16,10,90.0,173,50.0
Christophe Tremblay-Joncas,1820,18,7,16,9,93.13,198,93.0
Kevin Quinlan,2693,36,10,16,1,90.0,216,116.0
Jacob Duquette,916,16,5,15,6,93.62,157,66.0
Charles Guay,1085,15,9,13,9,91.54,227,50.0
Julien Bernat,1409,7,8,9,10,95.24,202,72.0
Raphaël Lalonde-Landry,933,13,8,9,3,93.81,140,71.0
Sam Warrick,463,3,2,8,6,87.1,127,35.0
Melvyn Brichet,563,8,3,7,4,86.36,96,54.0
Thomas Lalonde-Landry,434,9,3,7,3,83.72,112,36.0
Antoine Rousseau,3047,20,13,6,2,94.38,155,188.0
Liam McKeown,397,8,3,6,0,96.43,66,72.0
Calvin Coulbury,1125,7,5,3,1,96.34,115,98.0
Jeremie Giard,216,3,1,3,1,84.62,31,62.0
Kevin Groulx,2724,25,13,3,1,90.4,158,152.0
Jakob Brissette,2772,18,15,2,1,92.96,113,226.0
Ben Jagt,3407,54,15,54,7,96.41,242,166.0
Jack Williams,4882,60,31,47,5,94.43,288,180.0
Oliver Chartock,4281,46,23,37,4,94.76,244,184.0
Elliott Chartock,3864,53,15,34,0,95.98,194,216.0
Charles Weinberg,4629,45,37,31,3,95.34,236,206.0
Jeff Holm,1865,29,10,29,4,95.41,188,114.0
John Randolph,2097,30,14,28,6,95.29,156,152.0
Ethan Fortin,2496,25,16,19,4,96.73,200,136.0
Liam Haberfield,1599,22,5,18,7,89.38,176,88.0
Axel Agami,382,11,2,17,6,100.0,123,51.0
Antoine Davis,668,9,2,16,11,86.49,174,39.0
Bretton Tan,263,7,2,14,7,100.0,110,42.0
Matt LaBar,856,15,6,13,3,91.67,152,61.0
Ryan Drost,503,10,1,13,5,93.55,148,41.0
Sam Jonas,765,9,4,11,5,96.67,129,69.0
Mike Drost,453,7,3,10,4,95.45,152,37.0
Angelo Olcese,621,6,6,7,2,98.73,74,100.0
Robert Elston,252,4,1,7,3,100.0,29,122.0
Sean Keegan,646,8,2,7,0,97.92,34,216.0
Connor Russell,372,8,2,6,2,85.19,75,47.0
Walker Frankenberg,4883,56,23,40,4,93.23,232,213.0
Jake Thorne,2391,40,14,37,4,92.16,226,114.0
Dylan Burns,2998,36,14,30,3,95.74,272,120.0
Raekwon Adkins,2761,37,15,30,1,95.81,149,205.0
Evan Magsig,7088,56,42,29,9,94.18,302,232.0
Jason Vallee,3064,40,23,28,3,95.24,213,156.0
Lincoln Grench,1010,24,5,22,5,92.86,158,76.0
Aaron Rosenthal,941,16,8,21,9,89.13,184,56.0
Max Williams,1778,24,11,19,2,95.28,155,126.0
Robin Vickers Batzdorf,679,16,10,19,11,92.81,275,32.0
Daniel Ritthaler,1413,22,4,18,6,92.99,171,88.0
Matthew Burke,996,11,4,18,10,94.0,220,51.0
Wyatt Berreman,502,8,5,14,8,93.1,206,31.0
Aidan Curry,1332,17,3,13,3,94.25,137,102.0
Eli Kerns,1137,19,4,9,6,85.44,124,80.0
Ridge Huang,1707,16,10,9,1,95.53,87,202.0
Chris Lung,3163,34,16,8,4,90.76,177,163.0
Jace Bruner,455,5,5,8,7,88.64,118,40.0
Morgan Sommer,758,5,6,8,8,87.23,132,53.0
Jonah Malenfant,417,5,2,7,4,89.47,97,44.0
Max Trifillis,1664,31,5,42,16,94.68,255,81.0
Dmitry Suvorov,2326,33,16,27,1,97.69,159,171.0
James Pollard,3431,33,14,27,15,88.69,228,137.0
Paul Owens,2346,32,14,24,4,95.36,229,112.0
Scott Heyman,2311,27,12,22,4,94.12,111,218.0
Sean Mott,4324,47,23,22,0,94.27,225,193.0
Greg Martin,1520,19,7,19,4,96.88,168,103.0
Eric Witmer,1342,14,10,17,6,96.92,255,61.0
Matt Hanna,1075,15,3,15,4,94.92,156,77.0
Brandon Pastor,943,11,6,14,3,100.0,135,87.0
Eric Nardelli,740,13,5,13,3,92.98,147,57.0
Calvin Trisolini,2524,18,8,12,3,95.69,134,190.0
Mike Campanella,902,10,6,10,4,97.22,151,68.0
Nate Little,1107,13,5,10,4,87.5,118,85.0
Trevor Griesman,402,7,5,10,5,95.52,86,61.0
Kainoa Chun-Moy,556,8,5,8,2,98.44,79,87.0
Ethan Holmgren,254,5,1,5,3,90.48,72,39.0
Jordan Rhyne,3885,30,16,5,2,94.7,204,183.0
Michael Maroon,885,6,5,5,1,95.56,61,149.0
Andres Rodriguez,653,9,5,4,1,92.75,80,82.0
Anson Reppermund,2408,27,14,24,10,92.96,206,121.0
John McMonigal,2554,30,17,23,2,97.56,185,156.0
Anil Driehuys,3056,33,7,22,2,92.92,141,213.0
Jimmy Towle,2896,28,18,21,2,98.25,217,149.0
Pete Zaccardi,1689,24,2,18,8,88.24,218,72.0
Carl Johnson,1205,18,5,16,7,92.19,164,78.0
Logan Call,768,13,1,16,5,96.77,148,64.0
Alex Mullen,1153,16,12,15,2,94.64,99,131.0
Zac Byrnes,464,8,3,15,9,95.45,78,81.0
Charlie Vukovic,1014,11,5,11,9,90.63,137,74.0
Max Sheppard,2347,29,2,11,4,84.93,142,133.0
Kenny Furdella,745,10,4,10,1,97.87,90,98.0
Joe Molder,279,7,2,8,2,100.0,84,49.0
Kevin Nicholl,683,7,3,7,2,95.56,96,77.0
Michael Dillard,622,9,6,7,3,96.3,170,42.0
Marcel Oliart,2133,18,9,7,0,92.09,131,151.0
Will Hoffenkamp,2725,26,17,7,4,93.62,158,168.0
Andrew Thompson,272,5,3,6,3,91.67,42,76.0
Chris Graber,439,6,1,6,1,92.86,63,73.0
Jonathan Mast,4054,27,21,6,3,93.92,209,184.0
Henry Wayte,3004,39,19,33,7,95.0,225,146.0
Scott Radlauer,3414,35,14,31,10,94.31,204,174.0
Ben Thoennes,4601,53,14,24,6,84.82,244,153.0
Quinn Buermeyer,2311,21,13,18,6,95.48,262,93.0
Nate Knutson,1339,19,5,17,5,95.59,225,67.0
Conner Stillwell,3366,28,12,16,1,92.62,216,148.0
Felix Moren,2448,27,5,15,3,85.71,111,183.0
Josh Moore,1728,23,8,12,1,91.04,135,123.0
Duncan McNally,729,7,5,9,4,96.08,183,45.0
Julian Saunt,498,8,2,8,5,81.82,104,41.0
Theo Schaid Hefley,432,5,2,7,2,96.43,65,78.0
Antonio Rueda,2072,17,17,5,4,92.66,250,79.0
Dan Baumgartner,288,6,1,5,3,78.95,112,21.0
Lucas Henry,178,4,2,5,1,100.0,37,70.0
Zach Heiden,461,9,1,5,3,78.95,110,32.0
Bram Allahdadi,511,5,1,4,5,91.11,174,28.0
Jon Snyder,1946,19,11,4,1,94.18,177,107.0
Will Dillender-Kinast,44,3,0,4,2,75.0,27,22.0
Nick Redmond,1302,13,5,3,1,92.57,151,81.0
Caleb Campbell,916,6,4,2,3,93.15,142,61.0
Jordan Kerr,3905,50,26,44,5,96.27,231,190.0
Chad Yorgason,2369,39,6,41,17,89.31,303,80.0
Jace Duennebeil,3060,43,6,35,4,94.12,218,149.0
Joe Merrill,1788,29,12,30,7,94.52,246,84.0
Simon Dastrup,1228,24,4,28,9,91.07,191,73.0
Jacob Miller,3978,32,45,27,3,98.25,237,189.0
Matt Russnogle,1164,25,3,26,6,84.62,185,61.0
Sean Connole,3397,41,11,26,8,92.47,224,150.0
Ben Field,2952,40,9,23,2,90.53,187,150.0
Jonny Hoffman,1072,13,8,23,10,97.14,161,84.0
Kyle Weinberg,1061,19,3,21,4,94.67,150,83.0
Ben Ashton,1812,23,18,19,9,91.33,203,92.0
Tony Mounga,1025,22,3,19,9,76.47,158,50.0
Will Selfridge,1715,21,7,17,3,92.79,85,206.0
Elijah Jaime,1328,23,6,16,1,94.51,130,112.0
Nathan Huff,772,12,9,14,7,92.77,167,53.0
Grant Lindsley,2762,25,11,13,3,93.31,207,130.0
McKay Yorgason,2296,16,13,9,1,97.15,172,139.0
John Hanni,128,6,1,8,2,100.0,60,41.0
Zach Burnside,328,6,3,7,1,100.0,27,165.0
Travis Dunn,6430,79,28,59,8,91.98,304,211.0
Stefan Samu,2299,28,13,32,10,95.12,210,123.0
Max Gibson,2796,35,16,23,8,87.5,215,118.0
Thomas Konogeris,698,22,1,23,2,100.0,90,116.0
Casey Wu,1925,30,12,22,1,92.39,136,148.0
Michael Tran,1429,19,12,20,7,95.2,145,113.0
Oliver Artus,1638,25,4,19,2,89.06,153,103.0
Peter Lenz,3336,32,13,19,3,93.94,196,169.0
Matt Miller,5962,41,30,18,6,94.22,252,229.0
KJ Koo,1586,19,7,16,1,93.14,64,255.0
Kyle Rubin,3076,25,24,15,0,93.55,188,162.0
Casey Shugarman,480,8,2,14,10,93.75,188,32.0
Jimmy McGuinness,356,11,1,13,3,94.74,135,37.0
Tynan Sander,792,12,2,13,3,96.3,158,59.0
Caden Sigerud,593,10,2,11,1,100.0,99,77.0
Maxwell Hume,1471,15,7,11,1,92.13,152,95.0
Marshall Crawford,577,5,1,9,6,92.59,93,66.0
Ethan Li,1138,12,14,6,6,90.0,192,57.0
Bryce Lozinski,2395,19,15,5,2,93.85,223,103.0
Daniel Pryke,116,2,0,5,4,91.67,71,22.0
Garrett Martin,5053,82,22,69,6,92.34,311,172.0
Lukas Ambrose,2946,45,12,69,34,93.75,323,109.0
Zeppelin Raunig,4748,58,21,55,7,97.74,285,191.0
Mikey O'Brien,1720,32,15,48,20,96.77,262,89.0
Jasper Dean,2281,31,19,39,19,95.0,258,104.0
Khalif El-Salaam,3359,47,19,37,8,91.67,277,124.0
Spencer Lofink,4992,62,27,37,2,94.35,278,186.0
Tony Goss,1426,21,12,28,12,96.43,229,77.0
Tommy Li,2624,36,13,26,4,91.41,213,123.0
Jack Brown,2318,28,8,24,6,91.21,225,102.0
Aaron Wolf,3457,33,28,23,11,93.42,291,121.0
Derek Mourad,1870,22,13,20,2,97.81,147,146.0
Gavin Leahy,1735,21,11,17,2,94.06,150,122.0
Marc Munoz,2054,22,15,14,2,95.91,169,130.0
Cedar Hines,618,7,2,13,7,97.56,118,65.0
Dominic Jacobs,602,10,1,10,4,89.66,144,43.0
Shane Worthington,793,9,4,10,7,90.74,168,48.0
Kenny Lane III,353,5,6,7,3,97.06,110,42.0
Phillip Korolog,487,7,4,7,4,89.66,88,57.0
Emmet Shipway,223,5,0,4,2,78.95,91,20.0
Zachary Armstrong,1398,28,3,41,17,90.38,214,77.0
Ryan Poloz,3769,42,14,31,1,96.13,215,187.0
Nathan Hsieh,1200,25,5,23,3,89.74,120,107.0
Kelvin Huang,2267,29,13,22,2,96.62,206,122.0
Griffin McKee,2662,31,13,21,2,92.78,238,112.0
Cameron Kennedy,2233,27,9,19,3,90.91,176,123.0
Oscar Stonehouse,1771,24,8,19,5,90.72,115,153.0
Luc Comire,2680,24,17,16,4,94.74,130,211.0
Akifumi Muraoka,3629,29,17,14,7,89.19,143,223.0
Adam Turcotte,3970,25,16,14,4,94.69,207,187.0
Dax Miller,2880,21,18,14,12,92.17,214,129.0
Phil Turner,707,7,1,14,11,92.86,76,104.0
Keith McRae,2930,25,8,13,1,90.0,175,149.0
Kevin Tong,402,7,0,13,9,90.48,121,40.0
Rui Carvalho,995,10,8,8,3,93.59,128,80.0
Kevin Jay,585,6,2,6,4,94.03,123,50.0
Adam O'Donnell,1813,14,12,5,2,95.81,116,158.0
Martin Shiu,89,2,1,4,3,66.67,72,9.0
Jackson McKee,309,2,0,3,2,94.74,86,37.0
Oren Binnun,649,6,1,3,1,92.73,76,81.0
